CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2008,all,59.85,DRY FOOD,all,country,1,Luxembourg,sales,135.64
1,2008,all,1124.5800000000002,DRY FOOD,all,country,1,Lithuania,sales,2479.48
1,2008,all,212.21,DRY FOOD,all,country,1,Greece,sales,739.6
1,2008,all,1176.19,DRY FOOD,all,country,1,Portugal,sales,1833.83
1,2008,all,867.8,DRY FOOD,all,country,1,Germany,sales,1986.09
1,2008,all,459.43,DRY FOOD,all,country,1,Bulgaria,sales,1021.5
1,2008,all,1140.3999999999999,DRY FOOD,all,country,1,Belgium,sales,1984.47
1,2007,all,869.78,DRY FOOD,all,country,1,Sweden,sales,1713.45
1,2007,all,1225.86,DRY FOOD,all,country,1,Spain,sales,3200.2000000000003
1,2007,all,966.42,DRY FOOD,all,country,1,Portugal,sales,1409.89
1,2007,all,463.24,DRY FOOD,all,country,1,Poland,sales,983.4100000000001
1,2008,all,809.25,DRY FOOD,all,country,1,France,sales,1723.72
1,2008,all,1491.0,DRY FOOD,all,country,1,Spain,sales,4115.24
1,2008,all,1435.3799999999999,DRY FOOD,all,country,1,Spain,profit,3954.3500000000004
1,2007,19-24,4776.51,all,all,all,0,all,profit,15343.64
1,2007,19-24,501.2,all,all,month,4,Apr,profit,1984.93
1,2007,19-24,352.26,all,all,month,3,Mar,profit,1102.42
1,2007,19-24,236.39,all,all,month,2,Feb,profit,627.43
1,2007,19-24,79.71,all,all,month,1,Jan,profit,127.69
1,2008,all,9677.08,DRY FOOD,all,all,0,all,profit,19951.25
1,2007,all,8222.14,DRY FOOD,all,all,0,all,profit,16437.13
1,2008,19-24,5534.33,DRY FOOD,all,all,0,all,profit,18649.67
1,2007,19-24,4776.51,DRY FOOD,all,all,0,all,profit,15343.64
1,2008,all,9677.08,DRY FOOD,GROCERY,all,0,all,profit,19951.25
1,2007,all,8222.14,DRY FOOD,GROCERY,all,0,all,profit,16437.13
1,2008,19-24,5534.33,DRY FOOD,GROCERY,all,0,all,profit,18649.67
1,2007,19-24,4776.51,DRY FOOD,GROCERY,all,0,all,profit,15343.64
1,2008,all,9677.08,all,all,all,0,all,profit,25384.809999999998
1,2007,all,8222.14,all,all,all,0,all,profit,19327.66
1,2008,19-24,5534.33,all,all,all,0,all,profit,18649.67
1,2007,all,399.2,DRY FOOD,all,country,1,Norway,sales,513.96
1,2007,all,813.0,all,all,country,1,France,sales,1609.26
1,2007,all,640.2,DRY FOOD,all,country,1,Netherlands,sales,1340.2
1,2007,all,800.16,DRY FOOD,all,country,1,Lithuania,sales,1844.9
1,2007,19-24,731.48,DRY FOOD,all,country,1,Spain,sales,3050.36
1,2007,19-24,593.03,DRY FOOD,all,country,1,Portugal,sales,1284.3600000000001
1,2007,19-24,257.92,DRY FOOD,all,country,1,Poland,sales,937.4300000000001
1,2007,19-24,156.1,DRY FOOD,all,country,1,Norway,sales,481.82
1,2007,19-24,405.3,DRY FOOD,all,country,1,Netherlands,sales,1249.69
1,2007,19-24,52.53,DRY FOOD,all,country,1,Luxembourg,sales,188.05
1,2007,19-24,500.95,DRY FOOD,all,country,1,Sweden,sales,1651.7
1,2007,19-24,469.07,DRY FOOD,all,country,1,Lithuania,sales,1716.15
1,2007,19-24,485.28000000000003,DRY FOOD,all,country,1,Germany,sales,1649.58
1,2007,19-24,485.71,DRY FOOD,all,country,1,France,sales,1239.25
1,2007,19-24,99.35,DRY FOOD,all,country,1,Bulgaria,sales,368.38
1,2007,19-24,591.67,DRY FOOD,all,country,1,Belgium,sales,1752.72
1,2008,all,1061.59,DRY FOOD,GROCERY,country,1,Sweden,sales,1622.52
1,2008,all,1491.0,DRY FOOD,GROCERY,country,1,Spain,sales,4115.24
1,2007,19-24,141.51,DRY FOOD,all,country,1,Greece,sales,394.81
1,2008,19-24,632.92,DRY FOOD,all,country,1,Belgium,sales,1738.94
1,2008,19-24,293.31,DRY FOOD,all,country,1,Bulgaria,sales,915.32
1,2008,19-24,474.55,DRY FOOD,all,country,1,France,sales,1614.96
1,2007,all,219.42,DRY FOOD,all,country,1,Greece,sales,407.55
1,2007,all,875.8100000000001,DRY FOOD,all,country,1,Germany,sales,1744.5
1,2007,all,813.0,DRY FOOD,all,country,1,France,sales,1375.59
1,2007,all,151.48,DRY FOOD,all,country,1,Bulgaria,sales,408.21
1,2007,all,1047.1499999999999,DRY FOOD,all,country,1,Belgium,sales,1972.64
1,2008,19-24,534.67,DRY FOOD,all,country,1,Sweden,sales,1563.43
1,2008,19-24,966.01,DRY FOOD,all,country,1,Spain,sales,3933.19
1,2008,19-24,700.55,DRY FOOD,all,country,1,Portugal,sales,1700.55
1,2008,19-24,269.49,DRY FOOD,all,country,1,Poland,sales,1044.49
1,2008,19-24,205.41,DRY FOOD,all,country,1,Norway,sales,782.9300000000001
1,2008,19-24,409.37,DRY FOOD,all,country,1,Netherlands,sales,1145.6100000000001
1,2008,19-24,27.8,DRY FOOD,all,country,1,Luxembourg,sales,131.25
1,2008,19-24,619.58,DRY FOOD,all,country,1,Lithuania,sales,2257.34
1,2008,19-24,115.89,DRY FOOD,all,country,1,Greece,sales,722.11
1,2008,19-24,501.74,DRY FOOD,all,country,1,Germany,sales,1855.76
1,2007,all,81.3,DRY FOOD,all,country,1,Luxembourg,sales,188.05
1,2007,19-24,684.21,all,all,month,5,May,profit,1271.68
1,2007,all,151.48,all,all,country,1,Bulgaria,sales,502.74
1,2008,19-24,534.67,all,all,country,1,Sweden,sales,1563.43
1,2007,all,1196.3,DRY FOOD,GROCERY,month,5,May,sales,1495.6000000000001
1,2007,all,878.58,DRY FOOD,GROCERY,month,4,Apr,sales,2153.06
1,2007,all,609.59,DRY FOOD,GROCERY,month,3,Mar,sales,1230.74
1,2007,all,389.23,DRY FOOD,GROCERY,month,2,Feb,sales,717.37
1,2007,all,128.56,DRY FOOD,GROCERY,month,1,Jan,sales,148.81
1,2008,19-24,147.35,DRY FOOD,GROCERY,month,12,Dec,sales,658.3100000000001
1,2007,all,1050.94,DRY FOOD,GROCERY,month,6,Jun,sales,1051.38
1,2008,19-24,421.37,DRY FOOD,GROCERY,month,11,Nov,sales,1880.15
1,2008,19-24,356.55,DRY FOOD,GROCERY,month,9,Sep,sales,1072.03
1,2008,19-24,715.61,DRY FOOD,GROCERY,month,8,Aug,sales,1275.78
1,2008,19-24,374.71999999999997,DRY FOOD,GROCERY,month,7,Jul,sales,1117.89
1,2008,19-24,496.73,DRY FOOD,GROCERY,month,6,Jun,sales,2844.35
1,2008,19-24,572.78,DRY FOOD,GROCERY,month,5,May,sales,1556.64
1,2008,19-24,684.81,DRY FOOD,GROCERY,month,4,Apr,sales,2491.2400000000002
1,2008,19-24,346.67,DRY FOOD,GROCERY,month,10,Oct,sales,2053.58
1,2008,19-24,590.86,DRY FOOD,GROCERY,month,3,Mar,sales,936.58
1,2007,all,839.58,DRY FOOD,GROCERY,month,7,Jul,sales,1748.24
1,2007,all,605.52,DRY FOOD,GROCERY,month,9,Sep,sales,1219.51
1,2008,all,780.79,DRY FOOD,GROCERY,month,11,Nov,sales,2014.3100000000002
1,2008,all,622.14,DRY FOOD,GROCERY,month,10,Oct,sales,2157.3199999999997
1,2008,all,601.69,DRY FOOD,GROCERY,month,9,Sep,sales,1175.26
1,2008,all,1056.19,DRY FOOD,GROCERY,month,8,Aug,sales,1397.8799999999999
1,2008,all,710.74,DRY FOOD,GROCERY,month,7,Jul,sales,1239.14
1,2008,all,860.6400000000001,DRY FOOD,GROCERY,month,6,Jun,sales,2914.35
1,2007,all,658.77,DRY FOOD,GROCERY,month,8,Aug,sales,2150.19
1,2008,all,1047.24,DRY FOOD,GROCERY,month,5,May,sales,1713.41
1,2008,all,1082.21,DRY FOOD,GROCERY,month,3,Mar,sales,1074.58
1,2008,all,1116.08,DRY FOOD,GROCERY,month,2,Feb,sales,2064.54
1,2008,all,768.85,DRY FOOD,GROCERY,month,1,Jan,sales,1713.56
1,2007,all,685.77,DRY FOOD,GROCERY,month,12,Dec,sales,1748.66
1,2007,all,881.25,DRY FOOD,GROCERY,month,11,Nov,sales,2151.5499999999997
1,2007,all,628.9300000000001,DRY FOOD,GROCERY,month,10,Oct,sales,1287.44
1,2008,all,1128.8899999999999,DRY FOOD,GROCERY,month,4,Apr,sales,2578.2400000000002
1,2008,19-24,651.92,DRY FOOD,GROCERY,month,2,Feb,sales,1916.77
1,2008,19-24,391.92,DRY FOOD,GROCERY,month,1,Jan,sales,1602.56
