YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,VAR_SP,VAR_CM
2007,12,Dec,all,61639.77,sales,month
2008,1,Jan,all,63372.549999999996,sales,month
2008,2,Feb,all,84829.96,sales,month
2008,3,Mar,all,67464.56999999999,sales,month
2008,4,Apr,all,69298.8,sales,month
2008,5,May,all,85669.86,sales,month
2008,6,Jun,all,64704.73,sales,month
2008,7,Jul,all,58863.32,sales,month
2008,8,Aug,all,74854.12,sales,month
2008,9,Sep,all,59853.5,sales,month
2008,10,Oct,all,62220.74,sales,month
2008,11,Nov,all,78124.69,sales,month
2008,12,Dec,all,28385.89,sales,month
2007,1,Jan,19-24,210.28,profit,month
2007,1,Jan,25-34,982.23,profit,month
2007,1,Jan,35-44,1667.34,profit,month
2007,1,Jan,45-54,1176.66,profit,month
2007,1,Jan,55-64,113.22,profit,month
2007,1,Jan,65+,27.1,profit,month
2007,2,Feb,19-24,930.06,profit,month
2007,2,Feb,25-34,3392.44,profit,month
2007,2,Feb,35-44,5096.42,profit,month
2007,2,Feb,45-54,3593.24,profit,month
2007,2,Feb,55-64,451.89,profit,month
2007,2,Feb,65+,119.39,profit,month
2007,3,Mar,19-24,1570.6599999999999,profit,month
2007,3,Mar,25-34,5877.33,profit,month
2007,3,Mar,35-44,7490.06,profit,month
2007,3,Mar,45-54,5363.52,profit,month
2007,3,Mar,55-64,722.65,profit,month
2007,3,Mar,65+,242.93,profit,month
2007,4,Apr,19-24,2673.33,profit,month
2007,4,Apr,25-34,8342.96,profit,month
2007,4,Apr,35-44,11508.49,profit,month
2007,4,Apr,45-54,7533.91,profit,month
2007,4,Apr,55-64,754.58,profit,month
2007,4,Apr,65+,363.89,profit,month
2007,5,May,19-24,2335.5099999999998,profit,month
2007,5,May,25-34,11273.37,profit,month
2007,5,May,35-44,14240.38,profit,month
2007,5,May,45-54,10690.51,profit,month
2007,5,May,55-64,905.87,profit,month
2007,5,May,65+,478.27,profit,month
2007,6,Jun,19-24,1744.75,profit,month
2007,6,Jun,25-34,8773.15,profit,month
2007,6,Jun,35-44,11605.69,profit,month
2007,6,Jun,45-54,7960.5199999999995,profit,month
2007,6,Jun,55-64,923.8199999999999,profit,month
2007,6,Jun,65+,290.27,profit,month
2007,7,Jul,19-24,2264.58,profit,month
2007,7,Jul,25-34,8296.82,profit,month
2007,7,Jul,35-44,11696.52,profit,month
2007,7,Jul,45-54,7905.36,profit,month
2007,7,Jul,55-64,666.42,profit,month
2007,7,Jul,65+,374.58,profit,month
2007,8,Aug,19-24,2558.48,profit,month
2007,8,Aug,25-34,9590.92,profit,month
2007,8,Aug,35-44,15240.93,profit,month
2007,8,Aug,45-54,11162.26,profit,month
2007,8,Aug,55-64,625.86,profit,month
2007,8,Aug,65+,422.58,profit,month
2007,9,Sep,19-24,1582.38,profit,month
2007,9,Sep,25-34,8257.12,profit,month
2007,9,Sep,35-44,12560.21,profit,month
2007,9,Sep,45-54,9454.83,profit,month
2007,9,Sep,55-64,1143.95,profit,month
2007,9,Sep,65+,338.62,profit,month
2007,10,Oct,19-24,1618.11,profit,month
2007,10,Oct,25-34,8739.039999999999,profit,month
2007,10,Oct,35-44,12781.66,profit,month
2007,10,Oct,45-54,9545.18,profit,month
2007,10,Oct,55-64,816.72,profit,month
2007,10,Oct,65+,429.36,profit,month
2007,11,Nov,19-24,2775.48,profit,month
2007,11,Nov,25-34,11367.23,profit,month
2007,11,Nov,35-44,16043.17,profit,month
2007,11,Nov,45-54,11446.96,profit,month
2007,11,Nov,55-64,1329.27,profit,month
2007,11,Nov,65+,601.65,profit,month
2007,12,Dec,19-24,2115.87,profit,month
2007,12,Dec,25-34,8727.66,profit,month
2007,12,Dec,35-44,13807.82,profit,month
2007,12,Dec,45-54,9781.99,profit,month
2007,12,Dec,55-64,1247.44,profit,month
2007,12,Dec,65+,316.57,profit,month
2008,1,Jan,19-24,2063.39,profit,month
2008,1,Jan,25-34,8086.97,profit,month
2008,1,Jan,35-44,13817.33,profit,month
2008,1,Jan,45-54,10463.23,profit,month
2008,1,Jan,55-64,953.81,profit,month
2008,1,Jan,65+,342.6,profit,month
2008,2,Feb,19-24,2683.34,profit,month
2008,2,Feb,25-34,10580.7,profit,month
2008,2,Feb,35-44,16920.94,profit,month
2008,2,Feb,45-54,12216.26,profit,month
2008,2,Feb,55-64,991.25,profit,month
2008,2,Feb,65+,455.27,profit,month
2008,3,Mar,19-24,1717.45,profit,month
2008,3,Mar,25-34,9866.4,profit,month
2008,3,Mar,35-44,13630.88,profit,month
2008,3,Mar,45-54,9937.47,profit,month
2008,3,Mar,55-64,1056.01,profit,month
2008,3,Mar,65+,521.63,profit,month
2008,4,Apr,19-24,3304.11,profit,month
2008,4,Apr,25-34,9228.2,profit,month
2008,4,Apr,35-44,12726.59,profit,month
2008,4,Apr,45-54,9810.58,profit,month
2008,4,Apr,55-64,982.91,profit,month
2008,4,Apr,65+,492.95,profit,month
2008,5,May,19-24,2379.49,profit,month
2008,5,May,25-34,10270.789999999999,profit,month
2008,5,May,35-44,15251.21,profit,month
2008,5,May,45-54,12546.55,profit,month
2008,5,May,55-64,1141.71,profit,month
2008,5,May,65+,459.53999999999996,profit,month
2008,6,Jun,19-24,3443.22,profit,month
2008,6,Jun,25-34,8127.96,profit,month
2008,6,Jun,35-44,12748.89,profit,month
2008,6,Jun,45-54,9359.82,profit,month
2008,6,Jun,55-64,1436.55,profit,month
2008,6,Jun,65+,366.0,profit,month
2008,7,Jul,19-24,1679.86,profit,month
2008,7,Jul,25-34,7994.4,profit,month
2008,7,Jul,35-44,13146.21,profit,month
2008,7,Jul,45-54,8841.91,profit,month
