YEAR,child,CUSTOMER_AGE_GROUP,VAR_SP,parent,TOTAL_VALUE
2007,MEAT-PCKGD,all,sales,FRESH FOOD,5147.62
2007,PASTRY,all,sales,FRESH FOOD,1785.18
2007,PRODUCE,all,sales,FRESH FOOD,101971.45
2007,SALAD BAR,all,sales,FRESH FOOD,5955.01
2007,KIOSK-GAS,all,sales,NON FOOD,209417.32
2007,MISC SALES TRAN,all,sales,NON FOOD,33032.3
2008,DRUG GM,all,sales,DRY FOOD,6729.429999999999
2008,GROCERY,all,sales,DRY FOOD,249075.09
2008,DELI,all,sales,FRESH FOOD,12206.94
2008,MEAT,all,sales,FRESH FOOD,36822.61
2008,MEAT-PCKGD,all,sales,FRESH FOOD,5530.78
2008,PASTRY,all,sales,FRESH FOOD,2054.35
2008,PRODUCE,all,sales,FRESH FOOD,136905.16
2008,SALAD BAR,all,sales,FRESH FOOD,6995.08
2008,KIOSK-GAS,all,sales,NON FOOD,294449.79
2008,MISC SALES TRAN,all,sales,NON FOOD,46873.5
2007,DRUG GM,25-34,profit,DRY FOOD,5054.5
2007,DRUG GM,35-44,profit,DRY FOOD,693.9399999999999
2007,GROCERY,19-24,profit,DRY FOOD,22379.489999999998
2007,GROCERY,25-34,profit,DRY FOOD,49485.409999999996
2007,GROCERY,35-44,profit,DRY FOOD,86522.39
2007,GROCERY,45-54,profit,DRY FOOD,42951.6
2007,GROCERY,65+,profit,DRY FOOD,667.8
2007,DELI,25-34,profit,FRESH FOOD,5813.45
2007,DELI,45-54,profit,FRESH FOOD,5120.02
2007,MEAT,25-34,profit,FRESH FOOD,13311.05
2007,MEAT,45-54,profit,FRESH FOOD,8453.78
2007,MEAT,55-64,profit,FRESH FOOD,8216.26
2007,MEAT-PCKGD,45-54,profit,FRESH FOOD,4947.81
2007,PASTRY,35-44,profit,FRESH FOOD,1713.82
2007,PRODUCE,25-34,profit,FRESH FOOD,19955.86
2007,PRODUCE,35-44,profit,FRESH FOOD,39082.47
2007,PRODUCE,45-54,profit,FRESH FOOD,34141.73
2007,PRODUCE,55-64,profit,FRESH FOOD,1485.43
2007,PRODUCE,65+,profit,FRESH FOOD,3337.41
2007,SALAD BAR,35-44,profit,FRESH FOOD,5726.07
2007,KIOSK-GAS,25-34,profit,NON FOOD,0.0
2007,MISC SALES TRAN,25-34,profit,NON FOOD,0.0
2007,MISC SALES TRAN,35-44,profit,NON FOOD,0.0
2008,DRUG GM,25-34,profit,DRY FOOD,5747.2
2008,DRUG GM,35-44,profit,DRY FOOD,721.34
2008,GROCERY,19-24,profit,DRY FOOD,27058.97
2008,GROCERY,25-34,profit,DRY FOOD,54485.49
2008,GROCERY,35-44,profit,DRY FOOD,103331.18
2008,GROCERY,45-54,profit,DRY FOOD,53782.17
2008,GROCERY,65+,profit,DRY FOOD,743.26
2008,DELI,25-34,profit,FRESH FOOD,6213.04
2008,DELI,45-54,profit,FRESH FOOD,5524.06
2008,MEAT,25-34,profit,FRESH FOOD,14527.42
2008,MEAT,45-54,profit,FRESH FOOD,10925.6
2008,MEAT,55-64,profit,FRESH FOOD,9953.82
2008,MEAT-PCKGD,45-54,profit,FRESH FOOD,5316.35
2008,PASTRY,35-44,profit,FRESH FOOD,1972.06
2008,PRODUCE,25-34,profit,FRESH FOOD,25059.399999999998
2008,PRODUCE,35-44,profit,FRESH FOOD,51871.96
2008,PRODUCE,45-54,profit,FRESH FOOD,48560.58
2008,PRODUCE,55-64,profit,FRESH FOOD,1840.6799999999998
2008,PRODUCE,65+,profit,FRESH FOOD,4259.81
2008,SALAD BAR,35-44,profit,FRESH FOOD,6726.33
2008,KIOSK-GAS,25-34,profit,NON FOOD,0.0
2008,MISC SALES TRAN,25-34,profit,NON FOOD,0.0
2008,MISC SALES TRAN,35-44,profit,NON FOOD,0.0
2007,DRUG GM,all,profit,DRY FOOD,5748.44
2007,GROCERY,all,profit,DRY FOOD,202006.69
2007,DELI,all,profit,FRESH FOOD,10933.470000000001
2007,MEAT,all,profit,FRESH FOOD,29981.09
2007,MEAT-PCKGD,all,profit,FRESH FOOD,4947.81
2007,PASTRY,all,profit,FRESH FOOD,1713.82
2007,PRODUCE,all,profit,FRESH FOOD,98002.90000000001
2007,SALAD BAR,all,profit,FRESH FOOD,5726.07
2007,KIOSK-GAS,all,profit,NON FOOD,0.0
2007,MISC SALES TRAN,all,profit,NON FOOD,0.0
2008,DRUG GM,all,profit,DRY FOOD,6468.54
2008,GROCERY,all,profit,DRY FOOD,239401.06999999998
2008,DELI,all,profit,FRESH FOOD,11737.1
2008,MEAT,all,profit,FRESH FOOD,35406.84
2008,MEAT-PCKGD,all,profit,FRESH FOOD,5316.35
2008,PASTRY,all,profit,FRESH FOOD,1972.06
2008,PRODUCE,all,profit,FRESH FOOD,131592.43
2008,SALAD BAR,all,profit,FRESH FOOD,6726.33
2008,KIOSK-GAS,all,profit,NON FOOD,0.0
2008,MISC SALES TRAN,all,profit,NON FOOD,0.0
2007,root,25-34,sales,,
2007,root,35-44,sales,,
2007,root,19-24,sales,,
2007,root,45-54,sales,,
2007,root,65+,sales,,
2007,root,55-64,sales,,
2008,root,25-34,sales,,
2008,root,35-44,sales,,
2008,root,19-24,sales,,
2008,root,45-54,sales,,
2008,root,65+,sales,,
2008,root,55-64,sales,,
2007,root,all,sales,,
2008,root,all,sales,,
2007,root,25-34,profit,,
2007,root,35-44,profit,,
2007,root,19-24,profit,,
2007,root,45-54,profit,,
2007,root,65+,profit,,
2007,root,55-64,profit,,
2008,root,25-34,profit,,
2008,root,35-44,profit,,
2008,root,19-24,profit,,
2008,root,45-54,profit,,
2008,root,65+,profit,,
2008,root,55-64,profit,,
2007,root,all,profit,,
2008,root,all,profit,,
