YEAR,child,CUSTOMER_AGE_GROUP,BRAND,VAR_CM,X_AXIS,ORDER_BY,VAR_SP,parent,TOTAL_VALUE
2007,DRY FOOD,25-34,all,month,Sep,9,sales,root,
2007,DRY FOOD,25-34,all,month,Oct,10,sales,root,
2007,DRY FOOD,25-34,all,month,Nov,11,sales,root,
2007,DRY FOOD,25-34,all,month,Dec,12,sales,root,
2007,DRY FOOD,35-44,all,month,Jan,1,sales,root,
2007,DRY FOOD,35-44,all,month,Feb,2,sales,root,
2007,DRY FOOD,35-44,all,month,Mar,3,sales,root,
2007,DRY FOOD,35-44,all,month,Apr,4,sales,root,
2007,DRY FOOD,35-44,all,month,May,5,sales,root,
2007,DRY FOOD,35-44,all,month,Jun,6,sales,root,
2007,DRY FOOD,35-44,all,month,Jul,7,sales,root,
2007,DRY FOOD,35-44,all,month,Aug,8,sales,root,
2007,DRY FOOD,35-44,all,month,Sep,9,sales,root,
2007,DRY FOOD,35-44,all,month,Oct,10,sales,root,
2007,DRY FOOD,35-44,all,month,Nov,11,sales,root,
2007,DRY FOOD,35-44,all,month,Dec,12,sales,root,
2007,DRY FOOD,19-24,all,month,Jan,1,sales,root,
2007,DRY FOOD,19-24,all,month,Feb,2,sales,root,
2007,DRY FOOD,19-24,all,month,Mar,3,sales,root,
2007,DRY FOOD,19-24,all,month,Apr,4,sales,root,
2007,DRY FOOD,19-24,all,month,May,5,sales,root,
2007,DRY FOOD,19-24,all,month,Jun,6,sales,root,
2007,DRY FOOD,19-24,all,month,Jul,7,sales,root,
2007,DRY FOOD,19-24,all,month,Aug,8,sales,root,
2007,DRY FOOD,19-24,all,month,Sep,9,sales,root,
2007,DRY FOOD,19-24,all,month,Oct,10,sales,root,
2007,DRY FOOD,19-24,all,month,Nov,11,sales,root,
2007,DRY FOOD,19-24,all,month,Dec,12,sales,root,
2007,DRY FOOD,45-54,all,month,Jan,1,sales,root,
2007,DRY FOOD,45-54,all,month,Feb,2,sales,root,
2007,DRY FOOD,45-54,all,month,Mar,3,sales,root,
2007,DRY FOOD,45-54,all,month,Apr,4,sales,root,
2007,DRY FOOD,45-54,all,month,May,5,sales,root,
2007,DRY FOOD,45-54,all,month,Jun,6,sales,root,
2007,DRY FOOD,45-54,all,month,Jul,7,sales,root,
2007,DRY FOOD,45-54,all,month,Aug,8,sales,root,
2007,DRY FOOD,45-54,all,month,Sep,9,sales,root,
2007,DRY FOOD,45-54,all,month,Oct,10,sales,root,
2007,DRY FOOD,45-54,all,month,Nov,11,sales,root,
2007,DRY FOOD,45-54,all,month,Dec,12,sales,root,
2007,DRY FOOD,65+,all,month,Jan,1,sales,root,
2007,DRY FOOD,65+,all,month,Feb,2,sales,root,
2007,DRY FOOD,65+,all,month,Mar,3,sales,root,
2007,DRY FOOD,65+,all,month,Apr,4,sales,root,
2007,DRY FOOD,65+,all,month,May,5,sales,root,
2007,DRY FOOD,65+,all,month,Jun,6,sales,root,
2007,DRY FOOD,65+,all,month,Jul,7,sales,root,
2007,DRY FOOD,65+,all,month,Aug,8,sales,root,
2007,DRY FOOD,65+,all,month,Sep,9,sales,root,
2007,DRY FOOD,65+,all,month,Oct,10,sales,root,
2007,DRY FOOD,65+,all,month,Nov,11,sales,root,
2007,DRY FOOD,65+,all,month,Dec,12,sales,root,
2007,FRESH FOOD,25-34,all,month,Jan,1,sales,root,
2007,FRESH FOOD,25-34,all,month,Feb,2,sales,root,
2007,FRESH FOOD,25-34,all,month,Mar,3,sales,root,
2007,FRESH FOOD,25-34,all,month,Apr,4,sales,root,
2007,FRESH FOOD,25-34,all,month,May,5,sales,root,
2007,FRESH FOOD,25-34,all,month,Jun,6,sales,root,
2007,FRESH FOOD,25-34,all,month,Jul,7,sales,root,
2007,FRESH FOOD,25-34,all,month,Aug,8,sales,root,
2007,FRESH FOOD,25-34,all,month,Sep,9,sales,root,
2007,FRESH FOOD,25-34,all,month,Oct,10,sales,root,
2007,FRESH FOOD,25-34,all,month,Nov,11,sales,root,
2007,FRESH FOOD,25-34,all,month,Dec,12,sales,root,
2007,FRESH FOOD,45-54,all,month,Jan,1,sales,root,
2007,FRESH FOOD,45-54,all,month,Feb,2,sales,root,
2007,FRESH FOOD,45-54,all,month,Mar,3,sales,root,
2007,FRESH FOOD,45-54,all,month,Apr,4,sales,root,
2007,FRESH FOOD,45-54,all,month,May,5,sales,root,
2007,FRESH FOOD,45-54,all,month,Jun,6,sales,root,
2007,FRESH FOOD,45-54,all,month,Jul,7,sales,root,
2007,FRESH FOOD,45-54,all,month,Aug,8,sales,root,
2007,FRESH FOOD,45-54,all,month,Sep,9,sales,root,
2007,FRESH FOOD,45-54,all,month,Oct,10,sales,root,
2007,FRESH FOOD,45-54,all,month,Nov,11,sales,root,
2007,FRESH FOOD,45-54,all,month,Dec,12,sales,root,
2007,FRESH FOOD,55-64,all,month,Jan,1,sales,root,
2007,FRESH FOOD,55-64,all,month,Feb,2,sales,root,
2007,FRESH FOOD,55-64,all,month,Mar,3,sales,root,
2007,FRESH FOOD,55-64,all,month,Apr,4,sales,root,
2007,FRESH FOOD,55-64,all,month,May,5,sales,root,
2007,FRESH FOOD,55-64,all,month,Jun,6,sales,root,
2007,FRESH FOOD,55-64,all,month,Jul,7,sales,root,
2007,FRESH FOOD,55-64,all,month,Aug,8,sales,root,
2007,FRESH FOOD,55-64,all,month,Sep,9,sales,root,
2007,FRESH FOOD,55-64,all,month,Oct,10,sales,root,
2007,FRESH FOOD,55-64,all,month,Nov,11,sales,root,
2007,FRESH FOOD,55-64,all,month,Dec,12,sales,root,
2007,FRESH FOOD,35-44,all,month,Jan,1,sales,root,
2007,FRESH FOOD,35-44,all,month,Feb,2,sales,root,
2007,FRESH FOOD,35-44,all,month,Mar,3,sales,root,
2007,FRESH FOOD,35-44,all,month,Apr,4,sales,root,
2007,FRESH FOOD,35-44,all,month,May,5,sales,root,
2007,FRESH FOOD,35-44,all,month,Jun,6,sales,root,
