YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,PRODUCT_DESC,VAR_SP,VAR_CM
2008,6,Jun,19-24,442.26,all,all,all,all,sales,month
2008,6,Jun,25-34,18176.71,all,all,all,all,sales,month
2008,6,Jun,35-44,2910.36,all,all,all,all,sales,month
2008,6,Jun,45-54,2180.3,all,all,all,all,sales,month
2008,6,Jun,55-64,1173.56,all,all,all,all,sales,month
2008,6,Jun,65+,276.67,all,all,all,all,sales,month
2008,7,Jul,19-24,160.69,all,all,all,all,sales,month
2008,7,Jul,25-34,16589.07,all,all,all,all,sales,month
2008,7,Jul,35-44,3197.16,all,all,all,all,sales,month
2008,7,Jul,45-54,2024.37,all,all,all,all,sales,month
2008,7,Jul,55-64,488.54,all,all,all,all,sales,month
2008,7,Jul,65+,306.86,all,all,all,all,sales,month
2008,8,Aug,19-24,187.24,all,all,all,all,sales,month
2008,8,Aug,25-34,19284.96,all,all,all,all,sales,month
2008,8,Aug,35-44,3710.7,all,all,all,all,sales,month
2008,8,Aug,45-54,3049.71,all,all,all,all,sales,month
2008,8,Aug,55-64,889.3,all,all,all,all,sales,month
2008,8,Aug,65+,364.96,all,all,all,all,sales,month
2008,9,Sep,19-24,165.74,all,all,all,all,sales,month
2008,9,Sep,25-34,16730.56,all,all,all,all,sales,month
2008,9,Sep,35-44,2836.2,all,all,all,all,sales,month
2008,9,Sep,45-54,2103.19,all,all,all,all,sales,month
2008,9,Sep,55-64,842.04,all,all,all,all,sales,month
2008,9,Sep,65+,266.47,all,all,all,all,sales,month
2008,10,Oct,19-24,318.0,all,all,all,all,sales,month
2008,10,Oct,25-34,15616.87,all,all,all,all,sales,month
2008,10,Oct,35-44,2560.51,all,all,all,all,sales,month
2008,10,Oct,45-54,2839.47,all,all,all,all,sales,month
2008,10,Oct,55-64,404.88,all,all,all,all,sales,month
2008,10,Oct,65+,321.44,all,all,all,all,sales,month
2008,11,Nov,19-24,245.84,all,all,all,all,sales,month
2008,11,Nov,25-34,19966.07,all,all,all,all,sales,month
2008,11,Nov,35-44,3385.99,all,all,all,all,sales,month
2008,11,Nov,45-54,2796.43,all,all,all,all,sales,month
2008,11,Nov,55-64,905.51,all,all,all,all,sales,month
2008,11,Nov,65+,344.29,all,all,all,all,sales,month
2008,12,Dec,19-24,161.23,all,all,all,all,sales,month
2008,12,Dec,25-34,9720.66,all,all,all,all,sales,month
2008,12,Dec,35-44,1431.08,all,all,all,all,sales,month
2008,12,Dec,45-54,1331.27,all,all,all,all,sales,month
2008,12,Dec,55-64,434.03000000000003,all,all,all,all,sales,month
2008,12,Dec,65+,145.21,all,all,all,all,sales,month
2007,1,Jan,all,1787.43,all,all,all,all,sales,month
2007,2,Feb,all,6506.59,all,all,all,all,sales,month
2007,3,Mar,all,11357.71,all,all,all,all,sales,month
2007,4,Apr,all,16838.199999999997,all,all,all,all,sales,month
2007,5,May,all,26687.800000000003,all,all,all,all,sales,month
2007,6,Jun,all,25027.73,all,all,all,all,sales,month
2007,7,Jul,all,25306.91,all,all,all,all,sales,month
2007,8,Aug,all,26251.21,all,all,all,all,sales,month
2007,9,Sep,all,21197.69,all,all,all,all,sales,month
2007,10,Oct,all,20272.29,all,all,all,all,sales,month
2007,11,Nov,all,25304.48,all,all,all,all,sales,month
2007,12,Dec,all,22655.67,all,all,all,all,sales,month
2008,1,Jan,all,23054.17,all,all,all,all,sales,month
2008,2,Feb,all,32408.660000000003,all,all,all,all,sales,month
2008,3,Mar,all,25598.29,all,all,all,all,sales,month
2008,4,Apr,all,26457.63,all,all,all,all,sales,month
2008,5,May,all,33324.28,all,all,all,all,sales,month
2008,6,Jun,all,25159.859999999997,all,all,all,all,sales,month
2008,7,Jul,all,22766.69,all,all,all,all,sales,month
2008,8,Aug,all,27486.87,all,all,all,all,sales,month
2008,9,Sep,all,22944.200000000004,all,all,all,all,sales,month
2008,10,Oct,all,22061.170000000002,all,all,all,all,sales,month
2008,11,Nov,all,27644.13,all,all,all,all,sales,month
2008,12,Dec,all,13223.48,all,all,all,all,sales,month
2007,1,Jan,19-24,45.77,NATIONAL,all,all,all,sales,month
2007,1,Jan,19-24,25.810000000000002,PRIVATE,all,all,all,sales,month
2007,1,Jan,25-34,319.59,NATIONAL,all,all,all,sales,month
2007,1,Jan,25-34,281.88,PRIVATE,all,all,all,sales,month
2007,1,Jan,35-44,359.23,NATIONAL,all,all,all,sales,month
2007,1,Jan,35-44,223.51,PRIVATE,all,all,all,sales,month
2007,1,Jan,45-54,424.81,NATIONAL,all,all,all,sales,month
2007,1,Jan,45-54,101.89,PRIVATE,all,all,all,sales,month
2007,1,Jan,55-64,84.92,NATIONAL,all,all,all,sales,month
2007,1,Jan,55-64,2.98,PRIVATE,all,all,all,sales,month
2007,1,Jan,65+,24.09,NATIONAL,all,all,all,sales,month
2007,1,Jan,65+,0.59,PRIVATE,all,all,all,sales,month
2007,2,Feb,19-24,136.63,NATIONAL,all,all,all,sales,month
2007,2,Feb,19-24,43.08,PRIVATE,all,all,all,sales,month
2007,2,Feb,25-34,898.3,NATIONAL,all,all,all,sales,month
2007,2,Feb,25-34,2597.77,PRIVATE,all,all,all,sales,month
2007,2,Feb,35-44,732.43,NATIONAL,all,all,all,sales,month
2007,2,Feb,35-44,564.8,PRIVATE,all,all,all,sales,month
2007,2,Feb,45-54,1106.55,NATIONAL,all,all,all,sales,month
2007,2,Feb,45-54,227.46,PRIVATE,all,all,all,sales,month
