WEEK_NO,CLASS,SUB_CLASS,PRODUCT_DESC,YEAR,QUARTERS,DEPARTMENT,QUANTITY,DISCOUNT_YN,VAR_GRP
51,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,4,FRESH FOOD,3.0,0,Q
52,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,4,FRESH FOOD,3.0,0,Q
53,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,1.0,0,Q
54,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,1.0,0,Q
55,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
56,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,1.0,0,Q
57,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
58,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,4.0,1,Q
59,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
60,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,1.0,0,Q
61,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
62,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,1.0,0,Q
63,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
64,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
65,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,1,FRESH FOOD,3.0,0,Q
66,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
67,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
68,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
69,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,1.0,0,Q
70,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,22.0,1,Q
71,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,14.0,1,Q
72,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,17.0,1,Q
73,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,12.0,1,Q
74,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
75,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
76,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
77,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,1.0,0,Q
78,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,2,FRESH FOOD,3.0,0,Q
79,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
80,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
81,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
82,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,1.0,0,Q
83,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,1.0,0,Q
84,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
85,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
86,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,1.0,0,Q
87,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
88,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,1.0,0,Q
89,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,1.0,0,Q
90,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
91,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,3,FRESH FOOD,3.0,0,Q
92,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,3.0,0,Q
93,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,3.0,0,Q
94,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,21.0,1,Q
95,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,15.0,1,Q
96,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2008,4,FRESH FOOD,21.0,1,Q
