DEPARTMENT,CUSTOMER_AGE_GROUP,VALUE_2007,BRAND,ORDER_BY,X_AXIS,VAR_CM,VAR_SP,VALUE_2008
DRY FOOD,65+,58,all,9,Sep,month,sales,48.0
DRY FOOD,65+,65,all,10,Oct,month,sales,67.0
DRY FOOD,65+,87,all,11,Nov,month,sales,90.0
DRY FOOD,65+,79,all,12,Dec,month,sales,41.0
FRESH FOOD,25-34,423,all,1,Jan,month,sales,3290.0
FRESH FOOD,25-34,1526,all,2,Feb,month,sales,5076.0
FRESH FOOD,25-34,2754,all,3,Mar,month,sales,4768.0
FRESH FOOD,25-34,4158,all,4,Apr,month,sales,4775.0
FRESH FOOD,25-34,5060,all,5,May,month,sales,5163.0
FRESH FOOD,25-34,3646,all,6,Jun,month,sales,3883.0
FRESH FOOD,25-34,3769,all,7,Jul,month,sales,3875.0
FRESH FOOD,25-34,4191,all,8,Aug,month,sales,4033.0
FRESH FOOD,25-34,3251,all,9,Sep,month,sales,3573.0
FRESH FOOD,25-34,3517,all,10,Oct,month,sales,3262.0
FRESH FOOD,25-34,4535,all,11,Nov,month,sales,4434.0
FRESH FOOD,25-34,3836,all,12,Dec,month,sales,1529.0
FRESH FOOD,35-44,648,all,1,Jan,month,sales,5262.0
FRESH FOOD,35-44,1999,all,2,Feb,month,sales,6995.0
FRESH FOOD,35-44,2729,all,3,Mar,month,sales,5306.0
FRESH FOOD,35-44,3815,all,4,Apr,month,sales,4482.0
FRESH FOOD,35-44,5053,all,5,May,month,sales,4845.0
FRESH FOOD,35-44,3963,all,6,Jun,month,sales,4490.0
FRESH FOOD,35-44,4446,all,7,Jul,month,sales,5390.0
FRESH FOOD,35-44,5368,all,8,Aug,month,sales,6925.0
FRESH FOOD,35-44,4617,all,9,Sep,month,sales,5115.0
FRESH FOOD,35-44,4849,all,10,Oct,month,sales,5334.0
FRESH FOOD,35-44,5800,all,11,Nov,month,sales,6586.0
FRESH FOOD,35-44,5105,all,12,Dec,month,sales,2276.0
FRESH FOOD,45-54,634,all,1,Jan,month,sales,6513.0
FRESH FOOD,45-54,2051,all,2,Feb,month,sales,7718.0
FRESH FOOD,45-54,3415,all,3,Mar,month,sales,6335.0
FRESH FOOD,45-54,4122,all,4,Apr,month,sales,6102.0
FRESH FOOD,45-54,6466,all,5,May,month,sales,7171.0
FRESH FOOD,45-54,4574,all,6,Jun,month,sales,5719.0
FRESH FOOD,45-54,4397,all,7,Jul,month,sales,4983.0
FRESH FOOD,45-54,6626,all,8,Aug,month,sales,7403.0
FRESH FOOD,45-54,4301,all,9,Sep,month,sales,4871.0
FRESH FOOD,45-54,5319,all,10,Oct,month,sales,6255.0
FRESH FOOD,45-54,6844,all,11,Nov,month,sales,7585.0
FRESH FOOD,45-54,6044,all,12,Dec,month,sales,2497.0
FRESH FOOD,55-64,118,all,1,Jan,month,sales,992.0
FRESH FOOD,55-64,470,all,2,Feb,month,sales,1031.0
FRESH FOOD,55-64,751,all,3,Mar,month,sales,1098.0
FRESH FOOD,55-64,785,all,4,Apr,month,sales,1022.0
FRESH FOOD,55-64,942,all,5,May,month,sales,1187.0
FRESH FOOD,55-64,961,all,6,Jun,month,sales,1494.0
FRESH FOOD,55-64,693,all,7,Jul,month,sales,652.0
FRESH FOOD,55-64,651,all,8,Aug,month,sales,1280.0
FRESH FOOD,55-64,1189,all,9,Sep,month,sales,1129.0
FRESH FOOD,55-64,849,all,10,Oct,month,sales,601.0
FRESH FOOD,55-64,1382,all,11,Nov,month,sales,1263.0
FRESH FOOD,55-64,1297,all,12,Dec,month,sales,515.0
FRESH FOOD,65+,25,all,1,Jan,month,sales,294.0
FRESH FOOD,65+,103,all,2,Feb,month,sales,385.0
FRESH FOOD,65+,225,all,3,Mar,month,sales,471.0
FRESH FOOD,65+,343,all,4,Apr,month,sales,472.0
FRESH FOOD,65+,422,all,5,May,month,sales,411.0
FRESH FOOD,65+,239,all,6,Jun,month,sales,316.0
FRESH FOOD,65+,302,all,7,Jul,month,sales,348.0
FRESH FOOD,65+,348,all,8,Aug,month,sales,444.0
FRESH FOOD,65+,294,all,9,Sep,month,sales,288.0
FRESH FOOD,65+,381,all,10,Oct,month,sales,446.0
FRESH FOOD,65+,539,all,11,Nov,month,sales,421.0
FRESH FOOD,65+,250,all,12,Dec,month,sales,136.0
NON FOOD,25-34,216,all,1,Jan,month,sales,24778.0
NON FOOD,25-34,3376,all,2,Feb,month,sales,36683.0
NON FOOD,25-34,8889,all,3,Mar,month,sales,27689.0
NON FOOD,25-34,14649,all,4,Apr,month,sales,29614.0
NON FOOD,25-34,28821,all,5,May,month,sales,39961.0
NON FOOD,25-34,28565,all,6,Jun,month,sales,26222.0
NON FOOD,25-34,26459,all,7,Jul,month,sales,23376.0
NON FOOD,25-34,27609,all,8,Aug,month,sales,28951.0
NON FOOD,25-34,20432,all,9,Sep,month,sales,23083.0
NON FOOD,25-34,20329,all,10,Oct,month,sales,22356.0
NON FOOD,25-34,26316,all,11,Nov,month,sales,27726.0
NON FOOD,25-34,22267,all,12,Dec,month,sales,11813.0
NON FOOD,35-44,25,all,1,Jan,month,sales,1427.0
NON FOOD,35-44,249,all,2,Feb,month,sales,2536.0
NON FOOD,35-44,457,all,3,Mar,month,sales,1561.0
NON FOOD,35-44,974,all,4,Apr,month,sales,1663.0
NON FOOD,35-44,1691,all,5,May,month,sales,1962.0
NON FOOD,35-44,1333,all,6,Jun,month,sales,1570.0
NON FOOD,35-44,1868,all,7,Jul,month,sales,1486.0
NON FOOD,35-44,1587,all,8,Aug,month,sales,1944.0
NON FOOD,35-44,1303,all,9,Sep,month,sales,1498.0
NON FOOD,35-44,1233,all,10,Oct,month,sales,1128.0
NON FOOD,35-44,1882,all,11,Nov,month,sales,1845.0
NON FOOD,35-44,1920,all,12,Dec,month,sales,451.0
DRY FOOD,all,2499,all,1,Jan,month,sales,20816.0
DRY FOOD,all,7983,all,2,Feb,month,sales,24406.0
DRY FOOD,all,12256,all,3,Mar,month,sales,20237.0
DRY FOOD,all,19223,all,4,Apr,month,sales,21168.0
DRY FOOD,all,23601,all,5,May,month,sales,24971.0
DRY FOOD,all,19178,all,6,Jun,month,sales,21012.0
DRY FOOD,all,18856,all,7,Jul,month,sales,18752.0
DRY FOOD,all,24030,all,8,Aug,month,sales,23873.0
DRY FOOD,all,21031,all,9,Sep,month,sales,20297.0
DRY FOOD,all,20387,all,10,Oct,month,sales,22838.0
DRY FOOD,all,26230,all,11,Nov,month,sales,28266.0
DRY FOOD,all,20920,all,12,Dec,month,sales,9168.0
FRESH FOOD,all,1848,all,1,Jan,month,sales,16352.0
FRESH FOOD,all,6149,all,2,Feb,month,sales,21205.0
FRESH FOOD,all,9875,all,3,Mar,month,sales,17978.0
FRESH FOOD,all,13222,all,4,Apr,month,sales,16854.0
FRESH FOOD,all,17942,all,5,May,month,sales,18776.0
FRESH FOOD,all,13383,all,6,Jun,month,sales,15901.0
FRESH FOOD,all,13606,all,7,Jul,month,sales,15248.0
FRESH FOOD,all,17184,all,8,Aug,month,sales,20086.0
FRESH FOOD,all,13653,all,9,Sep,month,sales,14975.0
FRESH FOOD,all,14916,all,10,Oct,month,sales,15898.0
FRESH FOOD,all,19101,all,11,Nov,month,sales,20289.0
FRESH FOOD,all,16532,all,12,Dec,month,sales,6953.0
NON FOOD,all,241,all,1,Jan,month,sales,26205.0
NON FOOD,all,3625,all,2,Feb,month,sales,39220.0
NON FOOD,all,9346,all,3,Mar,month,sales,29250.0
NON FOOD,all,15623,all,4,Apr,month,sales,31277.0
NON FOOD,all,30512,all,5,May,month,sales,41923.0
NON FOOD,all,29898,all,6,Jun,month,sales,27791.0
NON FOOD,all,28327,all,7,Jul,month,sales,24862.0
NON FOOD,all,29196,all,8,Aug,month,sales,30895.0
NON FOOD,all,21735,all,9,Sep,month,sales,24581.0
NON FOOD,all,21562,all,10,Oct,month,sales,23484.0
NON FOOD,all,28198,all,11,Nov,month,sales,29570.0
NON FOOD,all,24187,all,12,Dec,month,sales,12264.0
DRY FOOD,19-24,136,NATIONAL,1,Jan,month,sales,1754.0
DRY FOOD,19-24,721,NATIONAL,2,Feb,month,sales,2139.0
DRY FOOD,19-24,1269,NATIONAL,3,Mar,month,sales,1195.0
DRY FOOD,19-24,2262,NATIONAL,4,Apr,month,sales,2752.0
DRY FOOD,19-24,1717,NATIONAL,5,May,month,sales,1899.0
DRY FOOD,19-24,1171,NATIONAL,6,Jun,month,sales,3086.0
DRY FOOD,19-24,1834,NATIONAL,7,Jul,month,sales,1373.0
DRY FOOD,19-24,2312,NATIONAL,8,Aug,month,sales,1607.0
DRY FOOD,19-24,1311,NATIONAL,9,Sep,month,sales,1315.0
DRY FOOD,19-24,1373,NATIONAL,10,Oct,month,sales,2282.0
DRY FOOD,19-24,2363,NATIONAL,11,Nov,month,sales,2204.0
DRY FOOD,19-24,1846,NATIONAL,12,Dec,month,sales,790.0
DRY FOOD,19-24,83,PRIVATE,1,Jan,month,sales,392.0
DRY FOOD,19-24,246,PRIVATE,2,Feb,month,sales,652.0
DRY FOOD,19-24,367,PRIVATE,3,Mar,month,sales,591.0
DRY FOOD,19-24,522,PRIVATE,4,Apr,month,sales,685.0
DRY FOOD,19-24,712,PRIVATE,5,May,month,sales,573.0
DRY FOOD,19-24,643,PRIVATE,6,Jun,month,sales,497.0
DRY FOOD,19-24,522,PRIVATE,7,Jul,month,sales,375.0
DRY FOOD,19-24,350,PRIVATE,8,Aug,month,sales,716.0
DRY FOOD,19-24,335,PRIVATE,9,Sep,month,sales,357.0
DRY FOOD,19-24,310,PRIVATE,10,Oct,month,sales,347.0
DRY FOOD,19-24,526,PRIVATE,11,Nov,month,sales,421.0
DRY FOOD,19-24,355,PRIVATE,12,Dec,month,sales,147.0
DRY FOOD,25-34,251,NATIONAL,1,Jan,month,sales,2137.0
DRY FOOD,25-34,861,NATIONAL,2,Feb,month,sales,2194.0
DRY FOOD,25-34,1580,NATIONAL,3,Mar,month,sales,2645.0
DRY FOOD,25-34,2114,NATIONAL,4,Apr,month,sales,1916.0
DRY FOOD,25-34,2916,NATIONAL,5,May,month,sales,2195.0
DRY FOOD,25-34,2522,NATIONAL,6,Jun,month,sales,1717.0
DRY FOOD,25-34,2051,NATIONAL,7,Jul,month,sales,1799.0
DRY FOOD,25-34,2291,NATIONAL,8,Aug,month,sales,2340.0
DRY FOOD,25-34,2059,NATIONAL,9,Sep,month,sales,2131.0
DRY FOOD,25-34,2315,NATIONAL,10,Oct,month,sales,2285.0
DRY FOOD,25-34,3304,NATIONAL,11,Nov,month,sales,2868.0
DRY FOOD,25-34,2313,NATIONAL,12,Dec,month,sales,955.0
DRY FOOD,25-34,349,PRIVATE,1,Jan,month,sales,2989.0
DRY FOOD,25-34,1144,PRIVATE,2,Feb,month,sales,3738.0
DRY FOOD,25-34,1782,PRIVATE,3,Mar,month,sales,2855.0
DRY FOOD,25-34,2411,PRIVATE,4,Apr,month,sales,2911.0
